scenario_id,name,end_engine_temp_c,end_coolant_temp_c,energy_residual_fraction,warning_present
S-01,Cold start / fast idle,102.67900105237875,96.46658183094428,6.771841569154423e-06,False
S-02,Warm highway cruise,122.41827473131211,90.86237235228391,1.5204110992433286e-05,False
S-03,Hot ambient idle,101.05830081923632,96.49551281122999,2.4777965152306512e-05,False
S-04,Sustained higher load,139.75864138803252,96.33598261971052,4.736861376298634e-06,False
S-05,Fan failure at hot idle,167.96366385990257,166.72510063902055,3.463691431580539e-08,True
S-06,Thermostat stuck closed,167.96366385990257,166.72510063902055,3.463691431580539e-08,True
S-07,50% pump degradation,146.0645960682162,102.71866128424112,2.89418631163128e-06,False
S-08,40% radiator UA loss,163.06717356318737,119.94029639931343,1.4620822178573152e-06,False
S-09,50% airflow restriction,145.24587786356437,101.88962029822127,2.7278282356849866e-06,False
